site,month,ppt,tmin,tmean,tmax,vpdmin,vpdmax
BD,January,16.1,-8.1,-2.3,3.6,1.76,5.93
BD,February,15.82,-8.4,-2.1,4.2,1.36,5.92
BD,March,49.3,-5.7,0.8,7.2,1.27,7.42
BD,April,67.84,-2.9,3.6,10.1,1.37,9.37
BD,May,83.31,1.9,8.6,15.3,1.86,12.14
BD,June,64.45,6.9,13.9,21,3.41,17.56
BD,July,62.33,10.6,18,25.3,4.47,23.75
BD,August,53.8,10.1,17.2,24.3,3.62,20.76
BD,September,42.47,5.4,12.5,19.6,2.89,16.67
BD,October,35.72,0.1,6.8,13.4,2.41,11.69
BD,November,23.38,-4.6,1.4,7.4,1.88,7.78
BD,December,15.49,-8.3,-2.5,3.2,1.44,5.43
BH,January,39.88,-10.1,-5.1,-0.2,1.32,4.74
BH,February,42.57,-10.3,-4.7,0.8,1.19,4.92
BH,March,77.78,-7.7,-1.6,4.4,1.26,6.41
BH,April,95,-4.8,1.4,7.6,1.43,7.89
BH,May,77.67,-0.1,6.3,12.7,1.88,10.26
BH,June,54.25,4.2,11.4,18.6,3.05,15.55
BH,July,67.71,7.4,14.9,22.4,4.02,20.24
BH,August,66.5,6.9,14,21.1,3.25,17.71
BH,September,45.92,3.1,10,16.9,2.66,14.67
BH,October,42.43,-1.5,4.6,10.7,2.35,10.38
BH,November,46.1,-6.2,-1.1,4,1.79,6.57
BH,December,47.84,-10.3,-5.3,-0.2,1.2,4.47
FC,January,10.8,-8.9,-2,5,1.25,6.28
FC,February,11.61,-8.1,-1,6,1.09,6.71
FC,March,39.41,-4.5,2.8,10.2,1.3,9.25
FC,April,53.31,-0.8,6.8,14.5,1.41,12.35
FC,May,74.32,4.2,11.9,19.5,1.92,16.08
FC,June,59.95,8.7,16.9,25.2,2.98,23.01
FC,July,48.63,12,20.7,29.3,3.97,29.95
FC,August,46.84,11.2,19.6,28,3.25,26.54
FC,September,33.18,6.4,14.9,23.4,2.62,21.26
FC,October,30.15,0.6,8.6,16.6,2.04,14.56
FC,November,17.82,-4.8,2.2,9.2,1.51,8.66
FC,December,11.36,-9.1,-2.3,4.5,1.14,5.83
HM1,January,16.27,-11.3,-3,5.2,1.04,7.41
HM1,February,18.14,-10.3,-2.1,6.2,0.87,7.6
HM1,March,53.52,-6.6,1.3,9.2,1.09,9.56
HM1,April,57.05,-3,5.3,13.5,1.32,12.52
HM1,May,60.76,1.9,10.4,19,1.56,17.04
HM1,June,53.45,6.3,15.4,24.5,2.52,24.54
HM1,July,67.49,9.5,18.7,28,2.91,29.29
HM1,August,82.17,8.8,17.7,26.7,2.15,25.9
HM1,September,39.82,4,13.4,22.7,1.73,21.88
HM1,October,35.64,-1.6,7.5,16.6,1.51,15.63
HM1,November,26.89,-6.7,1.3,9.2,1.36,9.96
HM1,December,20.38,-11,-2.9,5.2,0.9,7
HM6,January,22.38,-11.4,-4.8,1.9,1.31,5.89
HM6,February,21.24,-11.2,-4.4,2.5,1.2,5.81
HM6,March,56.03,-8.2,-1.1,6,1.35,7.65
HM6,April,81.45,-4.9,1.9,8.7,1.57,8.96
HM6,May,79.39,0,7.1,14.2,1.9,12.56
HM6,June,60.82,4.5,12,19.5,3.3,18.06
HM6,July,86.21,7.2,15.1,23,3.56,21.84
HM6,August,108.81,6.9,14.3,21.7,2.68,18.7
HM6,September,42.37,2.7,10.4,18.1,2.46,16.38
HM6,October,45,-2.4,4.9,12.3,2.01,12.07
HM6,November,36.12,-7.8,-0.9,5.9,1.55,8.02
HM6,December,25.02,-11.6,-4.9,1.8,1.2,5.44
LH,January,18.71,-7.2,0,7.3,1.57,7.84
LH,February,21.08,-6.5,0.8,8.1,1.35,7.91
LH,March,50.18,-3,4.4,11.8,1.6,10.54
LH,April,65.01,0.7,8.3,15.9,1.85,13.59
LH,May,77.31,5.6,13.3,21.1,2.33,17.73
LH,June,64.44,10.1,18.4,26.7,3.72,25.74
LH,July,44.92,13.6,22.1,30.5,5.21,32.78
LH,August,45.76,12.9,21,29.2,4.33,28.73
LH,September,38.93,8.1,16.5,24.9,3.28,23.67
LH,October,36.28,2.1,10,18,2.37,16.02
LH,November,32.07,-3.4,3.9,11.2,1.89,10.5
LH,December,23.62,-7.4,-0.3,6.9,1.43,7.38
WT1,January,27.26,-11.3,-4.7,2,1.07,5.98
WT1,February,38.82,-10.9,-4.1,2.6,0.99,5.88
WT1,March,59.9,-8.1,-1.4,5.4,0.85,7.16
WT1,April,74.52,-4.9,2,8.9,1.25,9.17
WT1,May,72.39,0.1,7,13.9,1.64,12.09
WT1,June,47.28,4.5,11.8,19.2,2.97,17.5
WT1,July,96.17,7.1,14.6,22.2,2.73,19.59
WT1,August,107.73,6.7,13.9,21.1,1.95,17.12
WT1,September,49.86,3.2,10.4,17.6,1.94,15.22
WT1,October,35.77,-2.1,5.1,12.2,1.62,11.22
WT1,November,39.63,-7.1,-0.6,5.9,1.35,7.66
WT1,December,32.3,-11.2,-4.6,2,0.94,5.61
WT2,January,12.88,-8.2,-0.7,6.9,1.34,8.09
WT2,February,20.65,-6.9,0.5,7.9,1.25,8.64
WT2,March,51.66,-4,3.6,11.2,1.38,10.89
WT2,April,58.63,-0.3,7.5,15.2,1.84,13.76
WT2,May,59.29,4.5,12.4,20.3,2.04,18.16
WT2,June,34.32,9.1,17.5,25.9,3.36,26.05
WT2,July,69.96,12.1,20.5,28.8,3.21,29.6
WT2,August,78.05,11.5,19.6,27.7,2.29,26.3
WT2,September,38.02,7.3,15.6,23.9,2.31,22.59
WT2,October,33.26,1.3,9.6,18,2.02,16.74
WT2,November,29.26,-3.9,3.6,11.2,1.62,11.23
WT2,December,24.98,-8.3,-0.9,6.6,1.22,7.78
